ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,
MWI,436217,Women with no education,47.2,1,MW,Malawi,1992,MW1992DHS,ED_EDUC_W_NED,211203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,1992,DHS,4849,4849,,
MWI,436222,Women with primary education,48.5,1,MW,Malawi,1992,MW1992DHS,ED_EDUC_W_PRI,211203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,1992,DHS,4849,4849,,
MWI,436223,Women with secondary or higher education,4.4,1,MW,Malawi,1992,MW1992DHS,ED_EDUC_W_SEH,211203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1992,DHS,4849,4849,,
MWI,514308,Men with no education,19.3,1,MW,Malawi,1992,MW1992DHS,ED_EDUC_M_NED,211204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,1992,DHS,1049,1060,,
MWI,514306,Men with primary education,66.4,1,MW,Malawi,1992,MW1992DHS,ED_EDUC_M_PRI,211204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,1992,DHS,1049,1060,,
MWI,514311,Men with secondary or higher education,14.3,1,MW,Malawi,1992,MW1992DHS,ED_EDUC_M_SEH,211204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,1992,DHS,1049,1060,,
MWI,264714,Women with no education,27,1,MW,Malawi,2000,MW2000DHS,ED_EDUC_W_NED,211203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2000,DHS,13220,13220,,
MWI,264718,Women with primary education,61.9,1,MW,Malawi,2000,MW2000DHS,ED_EDUC_W_PRI,211203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2000,DHS,13220,13220,,
MWI,264719,Women with secondary or higher education,11.1,1,MW,Malawi,2000,MW2000DHS,ED_EDUC_W_SEH,211203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2000,DHS,13220,13220,,
MWI,350307,Men with no education,9.9,1,MW,Malawi,2000,MW2000DHS,ED_EDUC_M_NED,211204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,2000,DHS,2915,2919,,
MWI,350312,Men with primary education,69.2,1,MW,Malawi,2000,MW2000DHS,ED_EDUC_M_PRI,211204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,2000,DHS,2915,2919,,
MWI,350318,Men with secondary or higher education,20.9,1,MW,Malawi,2000,MW2000DHS,ED_EDUC_M_SEH,211204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,2000,DHS,2915,2919,,
MWI,14279,Women who are literate,56.5,1,MW,Malawi,2000,MW2000DHS,ED_LITR_W_LIT,211233090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRWLIT,,2000,DHS,13220,13220,,
MWI,357256,Men who are literate,79.3,1,MW,Malawi,2000,MW2000DHS,ED_LITR_M_LIT,211234200,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDLITRMLIT,,2000,DHS,2915,2919,,
MWI,36299,Women with no education,22.6,1,MW,Malawi,2004,MW2004DHS,ED_EDUC_W_NED,211203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2004,DHS,11698,11698,,
MWI,36294,Women with primary education,61.9,1,MW,Malawi,2004,MW2004DHS,ED_EDUC_W_PRI,211203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2004,DHS,11698,11698,,
MWI,36295,Women with secondary or higher education,15.5,1,MW,Malawi,2004,MW2004DHS,ED_EDUC_W_SEH,211203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2004,DHS,11698,11698,,
